#########################################################
# Number of charged degrees of freedom
# 2002.08370, private communication Marco Hufnagel
# T [GeV], gQ
# D. Marsh: padded this array by assuming the SM d.of.'s up to GUT
# Cannot pad below recombination: this depends on reionization
##########################################################
9.999999999999999547e-08 1.331051796305852449e-199
1.002305468890316600e-07 1.331051796305852449e-199
1.004616252967439437e-07 1.331051796305852449e-199
1.006932364485362217e-07 1.331051796305852449e-199
1.009253815726338226e-07 1.331051796305852449e-199
1.011580619000928591e-07 1.331051796305852449e-199
1.013912786648084601e-07 1.331051796305852449e-199
1.016250331035195881e-07 1.331051796305852449e-199
1.018593264558171524e-07 1.331051796305852449e-199
1.020941599641498456e-07 1.331051796305852449e-199
1.023295348738301919e-07 1.331051796305852449e-199
1.025654524330425808e-07 1.331051796305852449e-199
1.028019138928482166e-07 1.331051796305852449e-199
1.030389205071933908e-07 1.331051796305852449e-199
1.032764735329145239e-07 1.331051796305852449e-199
1.035145742297464777e-07 1.331051796305852449e-199
1.037532238603275175e-07 1.331051796305852449e-199
1.039924236902075581e-07 1.331051796305852449e-199
1.042321749878541723e-07 1.331051796305852449e-199
1.044724790246586920e-07 1.331051796305852449e-199
1.047133370749445199e-07 1.331051796305852449e-199
1.049547504159720394e-07 1.331051796305852449e-199
1.051967203279472176e-07 1.331051796305852449e-199
1.054392480940266344e-07 1.331051796305852449e-199
1.056823350003257807e-07 1.331051796305852449e-199
1.059259823359252656e-07 1.331051796305852449e-199
1.061701913928769577e-07 1.331051796305852449e-199
1.064149634662124152e-07 1.331051796305852449e-199
1.066602998539479418e-07 1.331051796305852449e-199
1.069062018570932824e-07 1.331051796305852449e-199
1.071526707796567048e-07 1.331051796305852449e-199
1.073997079286535497e-07 1.331051796305852449e-199
1.076473146141123584e-07 1.331051796305852449e-199
1.078954921490813182e-07 1.331051796305852449e-199
1.081442418496366400e-07 1.331051796305852449e-199
1.083935650348878524e-07 1.331051796305852449e-199
1.086434630269865235e-07 1.331051796305852449e-199
1.088939371511314883e-07 1.331051796305852449e-199
1.091449887355775182e-07 1.331051796305852449e-199
1.093966191116415674e-07 1.331051796305852449e-199
1.096488296137092712e-07 1.331051796305852449e-199
1.099016215792435227e-07 1.331051796305852449e-199
1.101549963487898189e-07 1.331051796305852449e-199
1.104089552659851158e-07 1.331051796305852449e-199
1.106634996775632009e-07 1.331051796305852449e-199
1.109186309333633757e-07 1.331051796305852449e-199
1.111743503863369807e-07 1.331051796305852449e-199
1.114306593925538402e-07 1.331051796305852449e-199
1.116875593112110641e-07 1.331051796305852449e-199
1.119450515046384474e-07 1.331051796305852449e-199
1.122031373383075097e-07 1.331051796305852449e-199
1.124618181808368951e-07 1.331051796305852449e-199
1.127210954040014776e-07 1.331051796305852449e-199
1.129809703827378141e-07 1.331051796305852449e-199
1.132414444951529987e-07 1.331051796305852449e-199
1.135025191225313191e-07 1.331051796305852449e-199
1.137641956493408752e-07 1.331051796305852449e-199
1.140264754632425511e-07 1.331051796305852449e-199
1.142893599550955086e-07 1.331051796305852449e-199
1.145528505189664115e-07 1.331051796305852449e-199
1.148169485521349707e-07 1.331051796305852449e-199
1.150816554551029976e-07 1.331051796305852449e-199
1.153469726316011003e-07 1.331051796305852449e-199
1.156129014885954601e-07 1.331051796305852449e-199
1.158794434362968844e-07 1.331051796305852449e-199
1.161465998881664708e-07 1.331051796305852449e-199
1.164143722609249248e-07 1.331051796305852449e-199
1.166827619745582242e-07 1.331051796305852449e-199
1.169517704523267774e-07 1.331051796305852449e-199
1.172213991207723062e-07 1.331051796305852449e-199
1.174916494097246214e-07 1.331051796305852449e-199
1.177625227523109669e-07 1.331051796305852449e-199
1.180340205849616182e-07 1.331051796305852449e-199
1.183061443474194773e-07 1.331051796305852449e-199
1.185788954827457642e-07 1.331051796305852449e-199
1.188522754373295720e-07 1.331051796305852449e-199
1.191262856608936775e-07 1.331051796305852449e-199
1.194009276065038317e-07 1.331051796305852449e-199
1.196762027305758008e-07 1.331051796305852449e-199
1.199521124928823810e-07 1.331051796305852449e-199
1.202286583565627156e-07 1.331051796305852449e-199
1.205058417881282771e-07 1.331051796305852449e-199
1.207836642574724497e-07 1.331051796305852449e-199
1.210621272378765108e-07 1.331051796305852449e-199
1.213412322060189754e-07 1.331051796305852449e-199
1.216209806419828751e-07 1.331051796305852449e-199
1.219013740292627724e-07 1.331051796305852449e-199
1.221824138547743431e-07 1.331051796305852449e-199
1.224641016088603053e-07 1.331051796305852449e-199
1.227464387853003457e-07 1.331051796305852449e-199
1.230294268813169958e-07 1.331051796305852449e-199
1.233130673975853726e-07 1.331051796305852449e-199
1.235973618382402465e-07 1.331051796305852449e-199
